Question,A,B,C,D,Answer,Subject
"A state has a statute prohibiting the sale of guns and ammunition to any person under the age of 17. Violation of the statute is a felony punishable by a fine of $5,000 and imprisonment for up to two years. The state courts have interpreted this statute as a public welfare offense requiring no particular mental state for its violation. As such, this is a strict liability crime whereby culpability is imposed on a defendant for doing the proscribed act. A defendant, a 15-year-old, entered the store to purchase a shotgun as a present for her father. She took a shotgun off the shelf and went to the cashier's counter to pay for it. Not seeing the cashier anywhere, the defendant left the exact price for the shotgun on the countertop and left the store. If the defendant is prosecuted for violating the state statute, she should be found","guilty, because she purchased the shotgun while under the statutory age.","guilty, because the statute imposes absolute criminal liability.","not guilty, provided she was unaware that the statute prohibited the sale of weapons to a person in her age group.","not guilty, provided that the legislative intent was not to make the purchase of shotguns a criminal offense.",D,professional_law
"This question refers to the following information.
""I observe the great and wonderful mistake, both our own and our fathers, as to the civil powers of this world, acting in spiritual matters. I have read…the last will and testament of the Lord Jesus over many times, and yet I cannot find by one tittle of that testament that if He had been pleased to have accepted of a temporal crown and government that ever He would have put forth the least finger of temporal or civil power in the matters of His spiritual affairs and Kingdom. Hence must it lamentably be against the testimony of Christ Jesus for the civil state to impose upon the souls of the people a religion, a worship, a ministry, oaths (in religious and civil affairs), tithes, times, days, marryings, and buryings in holy ground…""
Roger Williams, The Hireling Ministry None of Christ's, 1652
Consistent with the excerpt above, Roger Williams was banished from Massachusetts Bay in 1636 for advocating",the separation of church and state,women's suffrage,bigamy,the export of tobacco,A,high_school_us_history
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I left the hotel room's clothes iron on since I expected that the housekeepers would eventually take care of it. Scenario 2 | In my midlife crisis, I abandoned my family.","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",None of the above are correct,D,moral_scenarios
" Construct a complete truth table for the following argument. Then, using the truth table, determine whether the argument is valid or invalid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)
J ≡ ~K
J ∨ L
~K / L",Valid,Invalid. Counterexample when J and K are true and L is false,Invalid. Counterexample when K is true and J and L are false,None of the above are correct,D,formal_logic
"This question refers to the following information.
""The economic ills we suffer have come upon us over several decades. They will not go away in days, weeks, or months, but they will go away. They will go away because we as Americans have the capacity now, as we've had in the past, to do whatever needs to be done to preserve this last and greatest bastion of freedom. In this present crisis, government is not the solution to our problem; government is the problem. . . .
""It is my intention to curb the size and influence of the Federal establishment and to demand recognition of the distinction between the powers granted to the Federal Government and those reserved to the States or to the people. All of us need to be reminded that the Federal Government did not create the States; the States created the Federal Government.""
—Ronald Reagan, First Inaugural Address, January 21, 1981
The conservative political revival that led to President Ronald Reagan's election in 1980 held the view that",political leaders in the 1960s and 1970s did not do enough to challenge the racial and economic status quo.,the United States had relied too heavily on military solutions and needed to pursue a more isolationist foreign policy.,religious leaders had become too assertive in governmental policy and had blurred the separation of church and state.,liberal laws and court decisions in the 1960s and a general moral decline were undermining the United States.,D,high_school_us_history
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I poured a cup of hot coffee on my baby. Scenario 2 | I volunteered my 99-year-old granny to enter the abandoned mine to rescue the lost children.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",A,moral_scenarios
"A painter working for a construction company was working with a group of construction co-workers on a house construction when a section of the house fell down on the owner. The painter declared, ""I knew they should have reinforced the standing wall better than they did! It is all their fault!"" It turned out that he was referring to co-workers employed by the same construction company. The owner filed suit for damages against the construction business. He tried to put the statement from the painter into evidence but the defendant objected. Will the court sustain the company's objection to the admission of the painter's statements?","Yes, because the painter is not qualified to make such statements regarding non-painting duties.","Yes, because the painter is not a participant as a negligent party in the catastrophic mistake that occurred.","No, because the painter may testify as a subcontractor to what he observed while on the location.",None of the above are correct,D,professional_law
"A state criminal law prohibits the publication of any description of the details of the execution of any prisoner who is sentenced to death by the courts of the state. Although the law allows a specified number of reporters to observe an execution, only the prison warden's official statement that the prisoner was ""executed as provided by law"" at a certain time and date may be published. The purpose of the law is to protect the public, particularly children, from the details of executions. After a particular execution was mishandled, causing the prisoner to suffer, a newspaper in the state published a story describing the event in detail. The story was written by the newspaper's reporter, who was permitted to observe the execution but did not promise prison officials that he would report only the warden's official statement. A prosecutor subsequently filed charges against the newspaper for publishing the details of the execution in violation of the state law. Is this prosecution constitutional?","No, because the prosecution seeks to punish the publication of lawfully obtained, truthful information about a matter of public significance, without adequate justification.","Yes, because publication of the details of such events might cause psychological damage to some children.","Yes, because the newspaper should have brought an action to test the validity of the law before publishing the reporter's story.",None of the above are correct,D,professional_law
"This question refers to the following information.
""The law of love, peace and liberty in the states extending to Jews, Turks and Egyptians, as they are considered sonnes of Adam, which is the glory of the outward state of Holland, soe love, peace and liberty, extending to all in Christ Jesus, condemns hatred, war and bondage. And because our Saviour sayeth it is impossible but that offences will come, but woe unto him by whom they cometh, our desire is not to offend one of his little ones, in whatsoever form, name or title hee appears in, whether Presbyterian, Independent, Baptist or Quaker, but shall be glad to see anything of God in any of them, desiring to doe unto all men as we desire all men should doe unto us, which is the true law both of Church and State; for our Saviour sayeth this is the law and the prophets.
""Therefore if any of these said persons come in love unto us, we cannot in conscience lay violent hands upon them, but give them free egresse and regresse unto our Town, and houses, as God shall persuade our consciences, for we are bounde by the law of God and man to doe good unto all men and evil to noe man. And this is according to the patent and charter of our Towne, given unto us in the name of the States General, which we are not willing to infringe, and violate, but shall houlde to our patent and shall remaine, your humble subjects, the inhabitants of Vlishing (Flushing, part of the colony of New Netherlands).""
—The Flushing Remonstrance, 1657
Which of the following most accurately describes the context in which the above document was written?","The Dutch West India Company had sought to establish a model community in the New World, based on Enlightenment principles; the document grew out of this mandate.",The policies of the Dutch West Indian company had discouraged non-Dutch immigrants from settling in New Netherlands; the document was an attempt to diversify the colony.,Religious toleration had become the norm in the neighboring New England colonies in the seventeenth century; the document was an attempt to bring New Amsterdam to the same levels of toleration.,None of the above are correct,D,high_school_us_history
"This question refers to the following information.
""After the Tencteri came, in former days, the Bructeri; but the general account now is, that the Chamavi and Angrivarii entered their settlements, drove them out and utterly exterminated them with the common help of the [neighboring] tribes, either from hatred of their tyranny, or from the attractions of plunder, or from heaven's [favorable] regard for us. It did not even grudge us the spectacle of the conflict. More than sixty thousand fell, not beneath the Roman arms and weapons, but, grander far, before our delighted eyes. May the tribes, I pray, ever retain if not love for us, at least hatred for each other; for while the destinies of empire hurry us on, fortune can give no greater boon than discord among our foes.""
Germania, Publius Cornelius Tacitus, ca. 98 C.E.
Which of the following conclusions about imperial treatment of ""barbarian"" (foreign) peoples in the period 600 B.C.E. to 600 C.E. is most directly supported by the passage?",Empires encouraged rival tribes to destroy one another to reduce threats to the state.,Empires welcomed migrations of barbarian peoples as sources of military manpower or economic productivity.,Empires used military force against all neighboring barbarian peoples as a means of expanding their influence.,Empires used religion to convert barbarian peoples so that they might become friendlier to the state.,A,high_school_world_history
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I memorized all the ways to cheat on math problems. Scenario 2 | I drove above the speed limit to get to the strip club.","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",None of the above are correct,D,moral_scenarios
"A woman had been spreading rumors around town that a defendant was a shoplifter. After the defendant learned about these rumors, she was furious and decided that she would teach the woman to keep her mouth shut. Late that night, the defendant went over to the woman's house with the intent to punch her in the mouth. When the defendant arrived at the woman's home, she peered in the bedroom window and saw the woman asleep in bed. The defendant proceeded to pry open the bedroom window and climbed inside. The defendant then grabbed the woman and punched her in the face and hurriedly fled from the home. The force of the blow fractured the woman's jaw. If the defendant is subsequently prosecuted for burglary, she will most likely be found","guilty, because she broke into the woman's home at night with the intent to commit a felony therein.","guilty, because the woman suffered a broken jaw as a result of the blow inflicted by the defendant.","not guilty, because the defendant did not intend to seriously injure the woman.","not guilty, because the defendant did not intend to commit a felony at the time of the breaking and entry.",D,professional_law
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I threw the newspapers into to the forest wild fire. Scenario 2 | I asked my children to set the table for dinner.","Wrong, Wrong","Not wrong, Wrong","Not wrong, Not wrong",None of the above are correct,D,moral_scenarios
" In his final work, Laws, Plato shifted from cosmology to which of the following issues?",Epistemology,Religion,Aesthetics,None of the above are correct,D,world_religions
"A boat owner was sailing his boat at sea when a storm advisory was suddenly issued. The boat owner was navigating his craft toward shore when heavy rain and wind gusts began to rock the boat. Unable to reach his own slip, the boat owner docked his boat on a pier owned by a resident who lived in a nearby house. The resident objected to the boat owner's entry onto his private property. The boat owner explained that due to the storm it would be highly dangerous to be at sea. He requested permission to temporarily dock his boat until the storm subsided. The resident refused and cut the rope tying the boat to the dock. As a result, the boat drifted out to sea. The boat was battered by the rocky waves and high winds. Trying to prevent the boat from capsizing, the boat owner fell and broke his leg. The boat was extensively damaged in the storm, as well. The boat owner has sued the resident, seeking to recover damages for his personal injury, as well as damage to the boat. The boat owner should","recover for the damage to the boat, but not recover for his personal injury.","recover for his personal injury, but not recover for the damage to the boat.",not recover for either damage to the boat or his personal injury.,None of the above are correct,D,professional_law
"A state imposes a tax on nonresident photographers who operate photographic studios in the state at a rate of 2% of their state-derived income above $12,000. This income tax exempts taxable income earned outside of the state by photographers who live in the state. Moreover, resident-photographers of the state are not taxed on their in-state earned income. A photographer who operates a studio in the state but is a resident of another state, challenges the constitutionality of this tax. Which of the following provisions would furnish the most applicable basis for this constitutional challenge?",The equal protection clause of the Fourteenth Amendment.,The due process clause of the Fourteenth Amendment.,The commerce clause.,The privileges and immunities clause of ArticleIv.,D,professional_law
"An off-duty police officer was standing on a street corner waiting for a bus. A man came up from behind and stole the police officer's wallet from his pants pocket. As the man was running away with the wallet, the police officer pulled out his service revolver. The police officer yelled at the man to stop and then fired several shots in the man's direction. The police officer did not aim directly at the man but shot at the pavement intending to frighten him. One of the bullets ricocheted off the sidewalk and struck the man, killing him. The police officer is guilty of",assault with a deadly weapon.,involuntary manslaughter.,voluntary manslaughter.,murder.,D,professional_law
"A large privately owned and operated shopping mall is open to the public and includes small shops, major department stores, and restaurants that are located around a pedestrian area. It also has several movie theaters, an ice-skating rink, a small amusement park, and a branch of the local public library. The mall is advertised as ""a small town with a big-town feel."" During shopping hours, a group of 10 protesters gathered in the pedestrian area near the entrance to a department store to denounce the sale of animal fur products in that store. The protesters were peaceful and did not interfere with traffic into or out of the store, but they carried signs and vocally communicated their message to people walking in the area. Mall management quickly broke up the protest and required the protesters to leave the mall. The protesters have sued the mall, claiming that their right to freedom of speech guaranteed by the First and Fourteenth Amendments was violated. Should the protesters prevail?","No, because the mall is private property, and there was no state action to which the freedom of speech guarantees of the First and Fourteenth Amendments apply.","No, because the prohibition of protests adjacent to the entrance of a department store during shopping hours is a constitutionally proper limitation on the time, place, and manner of speech.","Yes, because the mall is functionally equivalent to a town and, therefore, its actions are subject to the Constitution's guarantees of freedom of speech and assembly.","Yes, because the mall's restriction on the protesters' speech was broader than necessary to ensure proper access to the department store.",A,professional_law
Which philosopher called the idea of natural rights 'nonsense on stilts'?,Alan Gerwith,Emmanuel Kant,John Locke,None of the above are correct,D,international_law
To which species does Lucy belong?,Homo habilis,Homo sapiens,Australopithecus robustus,None of the above are correct,D,prehistory
There is evidence that premodern Homo sapiens existed:,"800,000 to 200,000 years ago.","600,000 to 30,000 years ago.","400,000 to 10,000 years ago.","100,000 to 10,000 years ago.",B,prehistory
" According to de Marneffe, which of the following is a reason we might call someone a drug addict?",They use a drug to relieve a craving.,They use a drug even though they obviously shouldn't.,"Although they believe they should use the drug when they decide to use it, at other times they believe they should not use the drug anymore.",None of the above are correct,D,moral_disputes
 Which of the following is not an example Aquinas gives of a self-evident proposition?,"""Every whole is greater than its part.""","""Things equal to one and the same are equal to one another.""","""Man is a rational being.""",None of the above are correct,D,moral_disputes
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | Everyday I gave her 2 slaps before school. Scenario 2 | I peed in the public urinal.","Wrong, Wrong","Not wrong, Wrong","Not wrong, Not wrong",None of the above are correct,D,moral_scenarios
"During spring break, a private boarding school was deserted while students and teachers were away on vacation. A guidance counselor remained on campus because he was working on a research project. After working late one night, the counselor decided to enter the room of a student from a very wealthy family. The counselor was rummaging through the student's room looking for something valuable to steal. Under the bed, he noticed an expensive suitcase. The counselor opened the suitcase and found an express mail envelope. The counselor knew that the student's father often sent money to his son in express mail envelopes. The counselor opened the envelope and saw that it contained a large quantity of white powder, which he suspected to be heroin. The counselor telephoned the police, and an officer was dispatched to the school. The counselor handed the officer the envelope, which he transported to the police station. At the station house, the officer opened the envelope and sent a sampling of the substance to the police lab. Tests confirmed the substance to be heroin. The police did not secure a search warrant before confiscating and opening the envelope. The student was thereafter arrested and charged with unlawful possession of a controlled dangerous substance. The student's attorney has filed a motion to suppress the heroin from evidence. The motion will most likely be","granted, because the police should have secured a warrant before seizing the envelope.","granted, because the police should have secured a warrant before opening the envelope.","denied, because the counselor, as a school employee, was in loco parentis.",None of the above are correct,D,professional_law
"On the basis of scientific studies showing a causal relationship between the consumption of ""red meat"" (principally beef) and certain forms of cancer, a federal statute prohibits all commercial advertising of red meat products. The statute does not, however, restrict the sale of red meat products. Producers of red meat have challenged the statute as a violation of their free speech rights protected by the First Amendment. Is the court likely to find the statute constitutional?","No, because it does not serve a substantial government interest.","Yes, because it does not affect speech protected by the First Amendment.","Yes, because it serves a legitimate government interest in protecting public health.",None of the above are correct,D,professional_law
 To whom did ordinary folk appeal during a drought in the time of the Han Dynasty?,The Buddha,Laozi,The Queen Mother of the West,Confucius,C,world_religions
" Which of the given formulas of PL is the best symbolization of the following sentence?
The restaurant serves pie or cheesecake or ice cream for dessert.",P ∨ (C ∨ I),(P ∨ C) ∨ I,P ∨ C ∨ I,None of the above are correct,D,formal_logic
How have archaeologists characterized the monuments built by the Olmec?,Halafian ritual monuments,megalithic chiefdoms,surplus food storage centers,None of the above are correct,D,prehistory
"A homeowner buys a new leaf blower and is so impressed with its power that he gets carried away and blows large amounts of his work onto the next door neighbor's yard. In addition to leaves, he also blew large amounts of pest-infested plant debris onto the neighbor's property. The material has accumulated into large, unsightly piles and caused damage to the neighbor's healthy plants. He has to pay workers to haul the material away and he incurs expenses to replace infected perennials. The neighbor sues for the tort of trespass. The homeowner files a motion to dismiss because the neighbor cannot prove that homeowner acted with an intent to trespass or to do harm. Will the court grant the motion to dismiss?","No, because the infected debris constituted an abnormally dangerous condition and homeowner could be held strictly liable for the trespass.","Yes, because the homeowner had no practical way of controlling where the material went and he acted without malice or ill will.","Yes, because the homeowner expected the wind to carry the debris away and did not think that it would accumulate on the neighbor's property.",None of the above are correct,D,professional_law
"A woman attended a private university. One afternoon she was approached by a photographer for a magazine, who asked her if she would be interested in posing nude for an upcoming issue. The woman, who was an aspiring model, agreed and posed for a number of nude pictures, which subsequently appeared in the magazine. Afterward, administrators and professors at the university began to harass her for what they considered to be imprudent behavior. During class, her instructors frequently called her ""Playmate"" and ""Stripper. "" Consequently, the woman brought suit in federal court against the university, alleging harassment, and seeking an injunction and damages. After this action was instituted, the university signed a stipulation agreeing not to harass her in the future. The federal court should now",dismiss the action as moot.,dismiss the action since the issues are no longer ripe.,dismiss the action because there is no case or controversy.,None of the above are correct,D,professional_law
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I was all out of face paint for my child's Halloween outfit, so I used furniture paint since I had to improvise. Scenario 2 | I helped him in academics by doing his paper.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",A,moral_scenarios
"Which of the following first described human culture according to a predictable chronology of a Stone Age, Bronze Age, and Iron Age?",uniformitarianism,multilinear evolution,. triple-age catastrophism,None of the above are correct,D,prehistory
"A plat restriction in a residential subdivision stated that ""no structure shall be built except for dwelling purposes."" A dwelling was erected on one of the lots. Later, the owner of the dwelling attempted to use it as a dental office. The other owners in the subdivision asked the court to enjoin the intended use. Leaving aside zoning issues, will the court likely grant the request to prohibit the intended use?","No, the wording is ambiguous and therefore any use is now permitted.",The wording only restricts the building of the structure and does not restrict its later use so that the owner is entitled to change the use.,A professional use of a building cannot be prohibited by a land restriction.f,None of the above are correct,D,professional_law
"An American company operates as an importer and distributor of guitars manufactured by a foreign company, and maintains several warehouses throughout the U. S. for the wholesale distribution of the guitars. A warehouse located in a city handles the distribution of guitars for several state areas. The guitars and guitar strings are shipped separately to the city warehouse. The guitar strings are mingled, stacked, and stored in the warehouse along with various other guitar strings. The guitars, on the other hand, arrive completely assembled in their shipping crates and remain on the loading docks. The city imposes an ad valorem property tax on the guitars and strings. The power of the city to impose an ad valorem tax on the foreign company's guitars and/or strings would most likely be upheld under",the commerce clause.,the reserved power of the states as granted under the Tenth Amendment.,the necessary and proper clause.,the import and export clause.,B,professional_law
"A march was held to call attention to the fact that minorities are still disenfranchised from the electoral process. A congressional report revealed that in the certain parts of the country, only 42% of minorities eligible to vote were, in fact, registered. The report also indicated that certain states had residency laws restricting a person's right to vote. As a consequence, Congress enacted a statute that makes any law denying minorities the right to vote shall be deemed unconstitutional. This federal statute will most likely be upheld under which of the following constitutional provisions?",Thirteenth Amendment.,Fourteenth Amendment.,Twentieth Amendment.,None of the above are correct,D,professional_law
"A security guard relocated to a state which required all persons wishing to practice private security to have graduated from a security training program within the state. The security guard, having already graduated from a program in his former state, wishes to work again as a private security guard. He began to advertise his services but was informed by the state that he must cease and desist from working as a private security guard until he complied with state law and graduated from an in-state program. The security guard challenges the constitutionality of the licensing statute on grounds that it violates the due process clause of the Fourteenth Amendment. Which of the following statements is most accurate?",The security guard has the burden of persuasion to show that the state does not have a compelling state interest in enacting such legislation.,The state has the burden of persuasion to show a compelling state interest in enacting such legislation.,The state has the burden of persuasion to show that the denial of a license to work in private security does not violate the petitioner's rights of due process.,None of the above are correct,D,professional_law
"This question refers to the following information.
ARTICLE I: Germany, Austria-Hungary, Bulgaria and Turkey for the one part, and Russia for the other part, declare that the state of war between them has ceased. They are resolved to live henceforth in peace and amity with one another. …
ARTICLE III: The territories lying to the west of the line agreed upon by the contracting parties, which formerly belonged to Russia, will no longer be subject to Russian sovereignty; the line agreed upon is traced on the map submitted as an essential part of this treaty of peace. The exact fixation of the line will be established by a Russo-German commission.
Treaty of Brest-Litovsk, March 14, 1918
The Treaty of Brest-Litovsk can best be described as the result of",corruption on the part of Bolshevik leaders and collaboration with Russian business interests,the breaking up of the Triple Entente,French and British aid being given to the so-called White Russians who opposed the Bolshevik government,None of the above are correct,D,high_school_european_history
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | When my neighbor goes on vacation, I read his mail. Scenario 2 | Hank said he could help me with my essay so I told him to write it all.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",A,moral_scenarios
"The prime minister of a foreign country was assassinated by a group of right wing extremists. The prime minister's death triggered a civil war between rival factions within the country. To prevent U. S. involvement in this country's political crisis, Congress passed an appropriations bill prohibiting any funding for U. S. military operations in this foreign country. The appropriations bill was passed over a presidential veto. Thereafter, the President issued an executive order directing U. S. Navy and Army troops to the foreign country to restore order. Is this executive order constitutional?","Yes, because the President, as commander- in-chief of the armed forces, has the power to authorize such military expeditions.","Yes, because the President has inherent power to regulate foreign affairs as long as there is no formal declaration of war.","No, because the executive order was neither authorized by federal statute nor ratified by the Senate.",None of the above are correct,D,professional_law
"This question refers to the following information.
In fact, the peculiar aggravation of the Cawnpore massacres was this, that the deed was done by a subject race — by black men who dared to shed the blood of their masters, and that of poor helpless ladies and children. Here we had not only a servile war, but we had a war of religion, a war of race, and a war of revenge, of hope, of national promptings to shake off the yoke of a stranger, and to re-establish the full power of native chiefs, and the full sway of native religions. Whatever the causes of the mutiny and the revolt, it is clear enough that one of the modes by which the leaders, as if by common instinct, determined to effect their end was, the destruction of every white man, woman or child who fell into their hands.
British journalist William Howard Russell, My Indian Mutlny Diary, 1860
Violence, it must be emphasized, was an essential component of the British presence in India. A dominant power is always uneasy with violence directed against it. The right to violence is, therefore, everywhere a privilege that authority enjoys and refuses to share with those under it: power always insists on violence as its exclusive monopoly. British rule in India, as an autocracy, had meticulously constructed a monopoly of violence. The revolt of 1857 shattered that monopoly by matching an official, alien violence by an indigenous violence of the colonized. The bodies of the British had acquired certain dignities in India that were predestined by birth and by the colour of their skin. This was the condition of their domination, of their superiority: rulers and ruled were arranged hierarchically as superior and inferior races, as civilized and uncivilized. And this superiority manifested itself by denying to the Indians a ""humanness""; by treating them and conceiving of them as animals.
Rudrangshu Mukherjee, ""The Kanpur [Cawnpore] Massacres in India in the Revolt of 1857,"" 1990
The passages above can best be connected with which of the following forms of violence?",Banditry due to socio-economic breakdown,Killing of civilians during wartime,Collateral damage caused by weapons of mass destruction,State-sponsored campaigns of genocide,B,high_school_world_history
Posner denies the autonomy of law on two grounds. Name one of them.,He claims that law is economically immoral.,He rejects a positivist account of law.,He opposes any sociological analysis of the law.,None of the above are correct,D,jurisprudence
"Buyer purchases an item from a merchant that turns out to be unfit, defective and unsafe for its ordinary purposes. Assuming no other warranties, which of the following can be invoked by the buyer?",Express warranty,Implied warranty,Warranty of title,None of the above are correct,D,professional_law
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I spent my afternoon peeing in the pool. Scenario 2 | I briefly shouted to my friend in the public theater as the movie played.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",A,moral_scenarios
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I consider friendly fire to be a serious hobby. Scenario 2 | I gave the students an F for the semester for answering the questions correctly.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",A,moral_scenarios
Hare claims that the two essential features of the logic of moral judgments are:,consequentialism and hedonism.,universalizability and prescriptivity.,contractualism and rule-following.,consistency and coherence.,B,philosophy
Kelsen’s theory of law is called pure theory because Kelsen :,Defined law in according with morality and purity,"Separated law from religion, ethics, sociology and history",Discussed law purely in terms of justice,None of the above are correct,D,jurisprudence
"One Sunday afternoon, a sports fan went to a professional football game. While standing in line at a concession stand, he got into an argument with three men ahead of him in the line. The three men were friends attending the game together. One of the men punched the sports fan in the mouth. A fight ensued. During the fracas, one of the other three men hit the sports fan over the head with a bottle, which caused him to suffer a serious concussion. The sports fan does not know for certain which of the three men struck him with the bottle. If the sports fan asserts a claim against the man who punched him in the mouth to recover damages for the head injury, will the sports fan prevail?","Yes, because the man who punched him in the mouth was the instigator who struck the first blow that started the fracas.","Yes, because the man who punched him in the mouth and the other men were acting in concert.","No, because the man who punched him in the mouth did not actually strike the sports fan with the bottle.","No, because the sports fan cannot offer proof as to which of the men struck the sports fan over the head with the bottle.",B,professional_law
"A farmer was the owner of a 20-acre tract that was situated just south of a major boulevard, a street that ran east and west. The farmer's tract was located next to an adjacent 300-acre ranch to the east. Immediately to the west of the farmer's parcel was a 100-acre tract. The farmer subdivided his property into two 10-acre parcels:Parcel 1 was the northern half and bordered along the major boulevard; Parcel 2 was the southern sector and abutted a river to the south. In March 1997, the farmer conveyed Parcel ito a man by warranty deed. No encumbrances were mentioned in the deed. Then in September 1997, the farmer conveyed Parcel 2 by warranty deed to a woman. Both the man and the woman promptly recorded their deeds with the County Recorder's Office. In 1965, the farmer constructed a driveway from what is now Parcel 2, extending over Parcel 1, where it connected with the major boulevard. This driveway lies across what is now Parcel 1 and was used continuously by the farmer until 1997 when he conveyed his property in parcels to the man and the woman. When the woman took possession of Parcel 2, she immediately began to use the drive way across Parcel 1. Thereafter, the man requested that the woman cease to use the driveway over Parcel 1. After the woman refused, the man brought an appropriate action to enjoin the woman from using the driveway. In this action, the man will","win, because his deed antedated the woman's deed.","win, because no encumbrances were mentioned in his deed.","lose, because the woman has an express easement.",None of the above are correct,D,professional_law
"In a hypothetical syllogism, when the minor premise affirms the antecedent",no valid conclusion can be drawn,the conclusion must deny the consequent,the conclusion must deny the antecedent,None of the above are correct,D,logical_fallacies
"This question refers to the following information.
""The far-reaching, the boundless future will be the era of American greatness. In its magnificent domain of space and time, the nation of many nations is destined to manifest to mankind the excellence of divine principles; to establish on earth the noblest temple ever dedicated to the worship of the Most High—the Sacred and the True. Its floor shall be a hemisphere—its roof the firmament of the star-studded heavens, and its congregation a Union of many Republics, comprising hundreds of happy millions, calling, owning no man master, but governed by God's natural and moral law of equality, the law of brotherhood—of 'peace and good will amongst men.'""
John L. O'Sullivan, ""The Great Nation of Futurity,"" 1839
By what means did the United States take possession of the Oregon Territory?",The United States was granted the territory in a postwar treaty with France.,The United States bought it from the Native Americans who lived there.,U.S. settlers were the first to arrive in the region; they claimed it for their country.,Great Britain ceded it to the United States as part of a negotiated treaty.,D,high_school_us_history
 What is the main difference between a cloned (SCNT) individual and an individual who is a product of normal sexual reproduction?,The SCNT individual has genetic material primarily from one person instead of two.,The SCNT individual has genetic material primarily from two people instead of one.,The SCNT individual has no genetic material.,There is no significant difference.,A,moral_disputes
Which of the following best describes the fallacy of equivocation?,A form of loaded language that uses an emotionally charged restatement of the claim in place of support for the claim.,Changing the meaning of a word or phrase from one part of the argument to another.,Confusing figurative language with literal language.,Referring to an act committed by an opponent in negative terms while referring to the same act committed by the arguer or supporters in favorable terms.,B,logical_fallacies
False analogy is another name for which fallacy?,Over generalization,Composition,Concomitant variation,None of the above are correct,D,logical_fallacies
"A state has enacted a party affiliation statute prohibiting a person from being an independent candidate in a general election if she had either (1) registered with a political party during the year prior to the immediately preceding primary, or (2) voted in that primary. The state adopted the so-called ""disaffiliation"" statute in order to have intraparty feuds resolved in primary elections rather than in the general election. Moreover, the state's elections director strongly supported the law and argued that it was necessary to avoid voter confusion and to ensure that the general election winner received a majority. A man, who was a registered Democrat in 2008, now wishes to run as an independent candidate in the November, 2009, general election. However, the elections director ruled that his candidacy violated the state's ""disaffiliation"" statute and barred him from appearing on the ballot. If the man files suit in federal district court challenging the constitutionality of the state's election statute, which of the following best states the burden of persuasion?",The state must demonstrate that the law is necessary to further an important state interest under equal protection analysis.,The man must demonstrate that the law is not rationally related to any legitimate state interest under fundamental rights analysis.,The man must demonstrate under fundamental rights analysis that the state has less restrictive alternative means available for independent candidates to get a ballot position.,None of the above are correct,D,professional_law
 Corresponding to the theoretical aim of moral theory is the principle of,parsimony.,practical guidance.,none of the above,None of the above are correct,D,moral_disputes
